File_Type,OD,,,,,,,,,,,,,,,,,,,,,,,,,
File_Version,3,,,,,,,,,,,,,,,,,,,,,,,,,
GP,2,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
MTP_Type,24Wells_Square,,,,,,,,,,,,,,,,,,,,,,,,,
MTP_Wells_X,6,,,,,,,,,,,,,,,,,,,,,,,,,
MTP_Wells_Y,4,,,,,,,,,,,,,,,,,,,,,,,,,
Timestamp,20171118_012019,,,,,,,,,,,,,,,,,,,,,,,,,
MTP,3,,,,,,,,,,,,,,,,,,,,,,,,,
Plate-ID,GF0001_Test,,,,,,,,,,,,,,,,,,,,,,,,,
Cal File Used,,,,,,,,,,,,,,,,,,,,,,,,,,
Well_Distance_X_MM,9,,,,,,,,,,,,,,,,,,,,,,,,,
Well_Distance_Y_MM,9,,,,,,,,,,,,,,,,,,,,,,,,,
Well_Shape,Square,,,,,,,,,,,,,,,,,,,,,,,,,
Spot_Shape,Rectangle,,,,,,,,,,,,,,,,,,,,,,,,,
Rectangle_Spot_Size_X_MM,3,,,,,,,,,,,,,,,,,,,,,,,,,
Rectangle_Spot_Size_Y_MM,3,,,,,,,,,,,,,,,,,,,,,,,,,
Deviation_From_Center_X_MM,0,,,,,,,,,,,,,,,,,,,,,,,,,
Deviation_From_Center_Y_MM,0,,,,,,,,,,,,,,,,,,,,,,,,,
Deviation_From_Perfect_Parallelness_DEG,0,,,,,,,,,,,,,,,,,,,,,,,,,
Geometric_Correction_MM,0.5,,,,,,,,,,,,,,,,,,,,,,,,,
Ignore_Top_G_Pixel_Percent,25,,,,,,,,,,,,,,,,,,,,,,,,,
Ignore_Bottom_G_Pixel_Percent,10,,,,,,,,,,,,,,,,,,,,,,,,,
OD_Profile,CR1496DG_4ms_BakersYeast,,,,,,,,,,,,,,,,,,,,,,,,,
a,0.0283,,,,,,,,,,,,,,,,,,,,,,,,,
359,0.749,1.012,0.767,0.966,1.189,0.902,0.945,1.206,1.023,0.726,1.093,1.083,0.758,0.427,0.977,0.708,0.84,0.986,0.729,1.055,0.62,0.939,0.933,0.882,,mtp03_20171118_071920.bmp
389,0.827,1.167,0.822,1.074,1.404,1.025,1.105,1.465,1.198,0.779,1.26,1.278,0.834,0.431,1.16,0.749,0.942,1.181,0.814,1.309,0.672,1.144,1.129,1.025,,mtp03_20171118_074919.bmp
419,0.878,1.403,0.89,1.247,1.73,1.207,1.306,1.832,1.463,0.835,1.489,1.525,0.92,0.431,1.395,0.825,1.092,1.421,0.902,1.629,0.711,1.407,1.338,1.191,,mtp03_20171118_081919.bmp
449,0.98,1.727,0.999,1.463,2.145,1.451,1.565,2.357,1.836,0.925,1.816,1.924,1.043,0.432,1.679,0.919,1.284,1.789,1.039,2.071,0.782,1.769,1.655,1.47,,mtp03_20171118_084920.bmp
479,1.129,2.133,1.155,1.8,2.721,1.778,1.979,3.083,2.353,1.057,2.294,2.447,1.216,0.434,2.151,1.054,1.536,2.287,1.22,2.657,0.889,2.271,2.139,1.855,,mtp03_20171118_091919.bmp
509,1.316,2.752,1.352,2.195,3.463,2.175,2.515,3.942,3.054,1.204,2.924,3.147,1.438,0.432,2.795,1.221,1.902,2.98,1.463,3.528,1.043,2.88,2.818,2.393,,mtp03_20171118_094919.bmp
539,1.555,3.557,1.624,2.74,4.487,2.767,3.32,5.149,3.902,1.454,3.707,4.139,1.762,0.429,3.677,1.47,2.403,3.88,1.84,4.708,1.263,3.861,3.709,3.146,,mtp03_20171118_101919.bmp
569,1.88,4.497,2.023,3.435,5.698,3.458,4.281,6.623,5.036,1.767,4.741,5.225,2.233,0.435,4.731,1.81,3.026,4.965,2.375,5.873,1.621,4.946,4.805,4.064,,mtp03_20171118_104918.bmp
599,2.334,5.766,2.502,4.33,7.425,4.589,5.44,8.711,6.521,2.212,5.807,6.729,2.85,0.438,5.853,2.321,3.854,6.351,3.062,7.591,1.975,6.15,5.972,5.262,,mtp03_20171118_111919.bmp
629,2.952,7.479,3.226,5.464,8.661,5.8,6.915,9.768,8.293,2.821,7.301,8.719,3.732,0.433,7.547,3.014,4.901,8.217,4.028,9.213,2.478,7.892,7.567,6.785,,mtp03_20171118_114919.bmp
